rewards,infected
-926.1000000000001,910.8666666666667
-926.2499999999999,911.4333333333333
-926.35,911.8333333333333
-926.7333333333332,912.6000000000001
-926.8666666666666,912.5999999999998
-926.0166666666668,910.8999999999997
-926.6666666666667,912.0
-924.4999999999999,910.0999999999999
-927.6333333333334,913.1333333333332
-927.1833333333334,912.1333333333333
-924.2333333333333,910.6999999999998
-924.2333333333332,910.2000000000002
-927.6666666666666,912.5666666666668
-924.5333333333334,910.4
-926.9666666666667,912.9000000000001
-925.1333333333336,911.0666666666665
-924.5666666666664,910.7666666666665
-924.5833333333335,910.0666666666667
-926.8833333333332,912.9333333333333
-926.5333333333333,912.6666666666665
-925.4666666666668,910.3333333333335
-926.3000000000002,912.2
-924.8666666666669,910.8999999999999
-926.7333333333331,912.7666666666665
-925.0666666666665,910.4999999999999
-926.9333333333332,913.6999999999998
-925.8000000000002,911.3666666666669
-925.9333333333333,911.3999999999999
-926.0833333333331,911.8999999999997
-927.8666666666664,914.6000000000001
-929.1999999999999,914.6666666666666
-924.9333333333334,911.0999999999999
-924.4166666666666,909.9333333333334
-925.9166666666669,911.7333333333332
-925.8833333333333,911.2666666666668
-924.9000000000001,911.1666666666666
-926.4333333333333,913.0333333333333
-925.7166666666667,911.8
-925.3166666666667,911.3666666666667
-926.3833333333332,911.4
-927.0833333333334,912.8999999999997
-927.1166666666667,913.3333333333334
-928.4999999999999,913.5
